name,v_nom,x,y,wkt_srid_4326,frequency,ref,operator,osm_name,voltage,typ
437,380.0,8.53055554991,47.9148481846,SRID=4326;POINT(8.53055554991256 47.9148481845625),50,7630,EnBW,ENGST-KUHMO-VILLI,380000,auxillary_T_node
438,220.0,8.24872901623,48.8463165189,SRID=4326;POINT(8.24872901623214 48.8463165189067),50,,,220-kV-Umspannwerk Kuppenheim,220000;110000,substation
439,220.0,8.2497504566,48.8491773731,SRID=4326;POINT(8.24975045659741 48.8491773731136),50,DAXLA-KUMRA-WEIER,EnBW,Daxlanden - Weier,220000,auxillary_T_node
440,220.0,9.45967747872,53.8646574513,SRID=4326;POINT(9.45967747872262 53.8646574512707),50,202,TenneT,202,220000,auxillary_T_node
441,380.0,11.4703941249,50.9303902295,SRID=4326;POINT(11.4703941249156 50.9303902294723),50,,50Hertz;EON_TEAG,Großschwabhausen,380000;110000,substation
442,380.0,11.4299065773,50.9114464611,SRID=4326;POINT(11.4299065773025 50.9114464610955),50,415,50Hertz,415,380000,auxillary_T_node
443,380.0,7.25465688214,53.0266716316,SRID=4326;POINT(7.25465688214231 53.0266716315927),50,RHED,TenneT,Umspannwerk Rhede,380000,substation
444,380.0,7.25501773539,53.0267136928,SRID=4326;POINT(7.25501773539194 53.0267136928067),50,305,Amprion;TenneT,Emsland West,380000,auxillary_T_node
445,220.0,7.37185639417,52.1977066548,SRID=4326;POINT(7.37185639416872 52.1977066547834),50,,Amprion,Amelsbüren,220000,auxillary_T_node
446,220.0,13.3998288404,53.7944477778,SRID=4326;POINT(13.399828840425 53.7944477778114),50,,50Hertz Transmission,Umspannwerk Windpark Iven,220000,substation
447,220.0,13.3984708282,53.7933318755,SRID=4326;POINT(13.3984708281663 53.7933318754816),50,316,50Hertz Transmission,316,220000,auxillary_T_node
448,380.0,7.42474524551,51.4592583943,SRID=4326;POINT(7.42474524551043 51.4592583943398),50,,Amprion,Schwerterheide Nord,380000,auxillary_T_node
449,380.0,7.12336046769,51.4473443869,SRID=4326;POINT(7.12336046768833 51.4473443869048),50,,Amprion,Oerkhaus West,380000,auxillary_T_node
450,380.0,7.41670791196,51.4570521583,SRID=4326;POINT(7.41670791195847 51.4570521583476),50,,RWE;DSW 21; AVU,Station Kruckel,380000;220000;110000,substation
451,380.0,7.41658261385,51.4607823587,SRID=4326;POINT(7.41658261384975 51.4607823586596),50,,Amprion,Witten West,380000,auxillary_T_node
452,380.0,6.53175001009,50.3900512646,SRID=4326;POINT(6.53175001008574 50.39005126464),,,Amprion; Westnetz,Station Dahlem,380000;110000,substation
453,380.0,6.53303653132,50.3922427777,SRID=4326;POINT(6.53303653131644 50.3922427776709),50,,Amprion,Selhausen West,380000,auxillary_T_node
454,380.0,6.60879226771,51.0346787721,SRID=4326;POINT(6.60879226770999 51.0346787720857),50,,Amprion,Neurath 2b,380000,auxillary_T_node
455,380.0,6.80890624664,51.2686075941,SRID=4326;POINT(6.80890624663756 51.2686075940546),50,,,Station Rath,380000,substation
456,380.0,6.72033167479,51.3441235774,SRID=4326;POINT(6.72033167479422 51.3441235773954),50,,Amprion,Meerbusch West,380000,auxillary_T_node
457,220.0,7.13937473426,51.5608313917,SRID=4326;POINT(7.13937473425833 51.5608313916517),50,,Amprion,Hochlarmark West,220000,auxillary_T_node
458,380.0,7.41946378046,51.4575100936,SRID=4326;POINT(7.41946378046051 51.4575100936229),50,,Amprion,Haarstrang Ost,220000,auxillary_T_node
459,220.0,7.19597933005,51.4115753149,SRID=4326;POINT(7.19597933005019 51.4115753148661),,,RWE,Station Welper,220000,substation
460,220.0,7.17920262036,51.4218244824,SRID=4326;POINT(7.17920262035811 51.4218244823956),50,,Amprion,Welper Ost,220000,auxillary_T_node
461,220.0,7.32427958321,51.6213874676,SRID=4326;POINT(7.32427958320741 51.6213874676194),50,,,Rheinzink,220000,substation
462,220.0,7.34371334413,51.6131049439,SRID=4326;POINT(7.34371334412713 51.6131049439167),50,,Amprion,Elmenhorst Süd,220000,auxillary_T_node
463,220.0,6.52272548882,51.3224954693,SRID=4326;POINT(6.52272548882226 51.3224954692993),50,,Amprion,Utfort West,220000,auxillary_T_node
464,220.0,6.96330545404,50.8337629178,SRID=4326;POINT(6.96330545403678 50.8337629177582),50,,RWE,Station Bollenacker,220000;110000,substation
465,220.0,6.92909269081,50.8441529722,SRID=4326;POINT(6.92909269080674 50.8441529722133),50,,Amprion,Godorf Ost,220000,auxillary_T_node
466,220.0,7.09582671881,50.8268716757,SRID=4326;POINT(7.09582671880563 50.8268716757217),,,Westnetz,Station Stockem,220000;110000,substation
467,220.0,7.09435790958,50.8269670893,SRID=4326;POINT(7.09435790958289 50.8269670893312),50,,Amprion,Gremberghoven Ost,220000,auxillary_T_node
468,220.0,6.57729057688,51.5563911802,SRID=4326;POINT(6.57729057687864 51.5563911802085),50,,Amprion,Station Ossenberg,220000;110000,substation
469,220.0,6.65066741434,51.5537022721,SRID=4326;POINT(6.65066741434228 51.5537022721424),50,,Amprion,Wesel Ost,220000,auxillary_T_node
470,380.0,7.82599043341,51.7500675543,SRID=4326;POINT(7.82599043340792 51.7500675542728),50,,Amprion,Uentrop Nord,380000,auxillary_T_node
471,220.0,6.92897905392,50.8438169469,SRID=4326;POINT(6.9289790539233 50.84381694694),50,,Amprion,Olefin West,220000,auxillary_T_node
472,380.0,7.99395911966,51.8230954342,SRID=4326;POINT(7.9939591196577 51.823095434189),50,,Amprion,Station Enniger,380000;110000,substation
473,380.0,7.83402074323,51.7550403465,SRID=4326;POINT(7.83402074322725 51.7550403464858),50,,Amprion,Gersteinwerk Ost,380000,auxillary_T_node
474,220.0,9.14517687189,52.853246436,SRID=4326;POINT(9.14517687189382 52.8532464360106),50,,TenneT TSO GmbH;Avacon AG,Wechold,220000;110000,substation
475,220.0,9.13794792584,52.8470269944,SRID=4326;POINT(9.13794792584036 52.8470269944345),50,1,TenneT,Leitung 2010/2023,220000,auxillary_T_node
476,220.0,8.31888925383,52.0660374597,SRID=4326;POINT(8.31888925383353 52.0660374597241),50,,RWE,Station Hesseln,220000;110000,substation
477,220.0,8.33466775125,52.0705200427,SRID=4326;POINT(8.33466775124759 52.07052004268),50,,Amprion,Halle West,220000,auxillary_T_node
478,380.0,7.9818783186,51.6766515665,SRID=4326;POINT(7.9818783185962 51.6766515664854),50,,Amprion,Geithe West,380000,auxillary_T_node
479,220.0,9.92382983733,51.8975617616,SRID=4326;POINT(9.92382983732643 51.8975617615529),50,,,Erzhausen,220000,substation
480,220.0,9.8524162497,51.8987652474,SRID=4326;POINT(9.8524162497002 51.8987652474175),50,2030/2001,TenneT,Leitung 2030/2001,220000,auxillary_T_node
481,380.0,9.41368122089,52.0274828921,SRID=4326;POINT(9.4136812208929 52.0274828920508),50,3019;3026;3027,,Leitung 3019/3026/3027,380000,auxillary_T_node
482,220.0,10.3552149923,52.1758109607,SRID=4326;POINT(10.3552149923206 52.1758109606876),50,2,TenneT,Leitung 2019/2027/2029,220000,auxillary_T_node
483,380.0,10.70273189,47.8264597977,SRID=4326;POINT(10.7027318899547 47.8264597977002),50,,LEW,Umspannwerk Bidingen Nr. 697 S,380000;110000,substation
484,380.0,10.7037422783,47.8264159805,SRID=4326;POINT(10.7037422782749 47.826415980499),,,,K12,380000,auxillary_T_node
485,220.0,10.194933444,47.9709368783,SRID=4326;POINT(10.1949334440241 47.9709368782958),50,,LEW,Umspannwerk Memmingen,220000;110000,substation
486,220.0,10.6412867739,48.027451241,SRID=4326;POINT(10.6412867739286 48.0274512409907),50,,,Umspannstation Irsingen,220000;110000,substation
487,220.0,10.6418025411,48.0258492685,SRID=4326;POINT(10.6418025411196 48.0258492685192),,O11,,,220000,auxillary_T_node
488,380.0,8.67009921733,49.3092022843,SRID=4326;POINT(8.67009921732699 49.3092022842852),,,,HD-Neurott - Hüffenhardt,380000,auxillary_T_node
489,380.0,9.22808874458,51.8124533664,SRID=4326;POINT(9.22808874457675 51.8124533663924),,,transpower,Vörden,380000;110000,substation
490,380.0,9.23187002273,51.8101190942,SRID=4326;POINT(9.23187002273009 51.810119094224),,3012,TenneT,,380000,auxillary_T_node
491,380.0,10.2341629654,48.5289320394,SRID=4326;POINT(10.2341629653667 48.5289320393823),50,,,Delmensingen - Niederstotzingen - Rotensohl,380000,auxillary_T_node
492,220.0,8.73513573367,50.1591915404,SRID=4326;POINT(8.73513573367143 50.1591915403542),,,TenneT;Mainova,Umspannwerk Frankfurt Nord,220000;110000,substation
493,220.0,8.87225963915,50.1297253197,SRID=4326;POINT(8.87225963914833 50.1297253197387),50,DOEH,EON_Netz,Dörnigheim 110 kV,110000,substation
494,220.0,8.74326052935,50.1623379811,SRID=4326;POINT(8.74326052934848 50.1623379810729),,,,Staudinger - Dörnigheim - Frankfurt Nord,220000,auxillary_T_node
495,380.0,9.3322301656,54.7210227584,SRID=4326;POINT(9.33223016559803 54.7210227584184),50,,TenneT TSO GmbH,Audorf - Jardelund,380000,auxillary_T_node
2_220kV,220.0,9.11321007473,52.5438533224,SRID=4326;POINT(9.11321007472722 52.5438533223737),50,,TenneT,Umspannwerk Kraftwerk Robert Frank,220000,substation
5_220kV,220.0,10.3662749375,52.2846467462,SRID=4326;POINT(10.3662749375017 52.2846467462009),50,,TenneT,Wahle,380000;220000,substation
10_220kV,220.0,12.9416466019,52.5621144046,SRID=4326;POINT(12.9416466019288 52.5621144045848),,Wu,50Hertz Transmission GmbH;E.ON edis AG,Wustermark,380000;220000;110000,substation
12_220kV,220.0,13.7096697058,52.5397952581,SRID=4326;POINT(13.7096697058228 52.5397952580643),50,NHG TCC,50Hertz Transmission GmbH,Neuenhagen,380000;220000;110000,substation
13_220kV,220.0,11.3704262487,48.291492233,SRID=4326;POINT(11.3704262486892 48.2914922329548),,OBA,TenneT TSO GmbH;E.ON Netz GmbH,Umspannwerk Oberbachern,380000;220000;110000,substation
15_220kV,220.0,11.8681562939,48.2068029185,SRID=4326;POINT(11.8681562938884 48.2068029185353),50,OH,TenneT TSO GmbH,Umspannwerk Ottenhofen,380000;220000,substation
18_220kV,220.0,13.6834769667,54.1390906407,SRID=4326;POINT(13.6834769666546 54.1390906406635),,,50Hertz,Umspannwerk Lubmin,380000;220000,substation
20_220kV,220.0,9.98460982001,53.741128776,SRID=4326;POINT(9.98460982000897 53.7411287759659),50,,50Hertz Transmission,Umspannwerk Hamburg-Nord,380000;220000;110000,substation
22_220kV,220.0,9.20210420095,53.89515741,SRID=4326;POINT(9.20210420095253 53.8951574100045),50,,50Hertz Transmission,Umspannwerk Kernkraftwerk Brunsbüttel,380000;220000;110000,substation
24_220kV,220.0,9.72699196993,54.2914209868,SRID=4326;POINT(9.72699196993402 54.2914209867842),50,,TenneT;Schleswig-Holstein Netz AG,Audorf,220000;110000,substation
26_220kV,220.0,9.34400177216,53.8517774635,SRID=4326;POINT(9.34400177215961 53.8517774635399),,,,Brokdorf,380000;220000,substation
30_220kV,220.0,9.50178966782,53.5428143723,SRID=4326;POINT(9.5017896678173 53.5428143723363),50,,,Dollern,380000;220000;110000,substation
32_220kV,220.0,11.1228545605,50.998909067,SRID=4326;POINT(11.1228545605428 50.9989090670144),50,,50Hertz Transmission GmbH,Umspannwerk Vieselbach,380000;220000;110000,substation
37_220kV,220.0,11.6389127631,52.2687346818,SRID=4326;POINT(11.6389127631156 52.2687346818467),,,50Hertz Transmission GmbH,Umspannwerk Wolmirstedt,380000;220000,substation
42_220kV,220.0,12.1869848227,53.8157751724,SRID=4326;POINT(12.1869848227216 53.8157751724384),50,,50Hertz,Güstrow,380000;220000,substation
46_220kV,220.0,13.524198731,52.5356342713,SRID=4326;POINT(13.5241987309997 52.5356342713481),50,MZA9,50Hertz,Umspannwerk Marzahn,380000;220000;110000,substation
52_220kV,220.0,8.31334016593,49.0090434644,SRID=4326;POINT(8.3133401659254 49.0090434643525),50,,EnBW,Karlsruhe-Daxlanden,380000;220000;110000,substation
56_220kV,220.0,8.62320967452,49.3565822493,SRID=4326;POINT(8.62320967451897 49.3565822492832),50,,EnBW,Umspannwerk Neurott,380000;220000,substation
61_220kV,220.0,8.51888180952,53.2026352837,SRID=4326;POINT(8.51888180951659 53.2026352836834),50,FARG,Avacon AG,Umspannwerk Farge,110000,substation
68_220kV,220.0,8.77244296019,49.9746686651,SRID=4326;POINT(8.77244296019056 49.974668665137),,,RWE,Umspannwerk Urberach,380000;220000;110000,substation
69_220kV,220.0,8.41937105938,49.6337356824,SRID=4326;POINT(8.41937105938048 49.6337356823792),50,,RWE,Station Bürstadt,380000;220000,substation
74_220kV,220.0,13.9024346887,51.874723519,SRID=4326;POINT(13.9024346886892 51.8747235190459),50,RAG,50Hertz,Umspannwerk Ragow,380000;110000,substation
78_220kV,220.0,11.6463786274,50.534876971,SRID=4326;POINT(11.6463786274424 50.534876971042),50,RDF;RE,50Hertz Transmission GmbH,Umspannwerk Remptendorf,380000;220000;110000,substation
86_220kV,220.0,7.30820430095,52.4768353863,SRID=4326;POINT(7.30820430094578 52.4768353862806),50,,Amprion,Hanekenfähr,380000;220000;110000,substation
87_220kV,220.0,7.06030699176,51.6964760131,SRID=4326;POINT(7.06030699176008 51.6964760130648),50,,RWE,Station Kusenhorst,380000;220000;110000,substation
94_220kV,220.0,8.3077568968,52.3456356448,SRID=4326;POINT(8.30775689679575 52.3456356447783),50,,Amprion,Wehrendorf,380000;220000;110000,substation
95_220kV,220.0,7.88957671235,52.2773967624,SRID=4326;POINT(7.88957671235007 52.2773967624078),50,,Amprion,Station Westerkappeln,380000;220000;110000,substation
96_220kV,220.0,7.31784994378,52.4691114903,SRID=4326;POINT(7.31784994377907 52.4691114902799),50,,,Benteler Stahlwerk,220000,substation
99_220kV,220.0,6.99647659179,49.3754093063,SRID=4326;POINT(6.99647659179489 49.3754093063084),50,,Amprion,Umspannwerk Uchtelfangen,380000;220000;110000,substation
100_220kV,220.0,6.47473977007,49.9224692994,SRID=4326;POINT(6.47473977006816 49.9224692993999),50,,Amprion; Westnetz,Station Niederstedem,380000;220000;110000,substation
104_220kV,220.0,6.9267589636,51.4992056838,SRID=4326;POINT(6.92675896360373 51.4992056838496),50,,RWE,Station Büscherhof,380000;220000,substation
105_220kV,220.0,6.68078798894,51.6462959357,SRID=4326;POINT(6.68078798893986 51.6462959356851),,,RWE,Station Niederrhein,380000;220000;110000,substation
106_220kV,220.0,7.16721460966,51.3899067582,SRID=4326;POINT(7.16721460965932 51.3899067582106),50,,Amprion,Station Hattingen,380000;220000;110000,substation
107_220kV,220.0,7.12557291067,51.4489772588,SRID=4326;POINT(7.1255729106725 51.4489772588145),50,,RWE,Station Eiberg,380000;220000,substation
117_220kV,220.0,6.97257742701,50.7956930175,SRID=4326;POINT(6.97257742700703 50.795693017514),,,RWE,Station Sechtem,380000;220000;110000,substation
120_220kV,220.0,7.86394571365,50.7682419129,SRID=4326;POINT(7.86394571365263 50.7682419129404),50,,RWE,Station Dauersberg,380000;220000;110000,substation
123_220kV,220.0,6.7022033778,51.0088609097,SRID=4326;POINT(6.70220337779745 51.0088609096753),50,,RWE,Station Rommerskirchen,380000;220000,substation
124_220kV,220.0,6.61240231531,51.0359242595,SRID=4326;POINT(6.61240231530956 51.0359242594819),50,,,KW Neurath,380000;220000;110000,substation
